text,sentiment
I think the service is currently available.,neutral
"In my opinion, i am using the application",neutral
"In my opinion, this application is very useful.",positive
"In my opinion, the application has several features",neutral
The service was slow and terrible,negative
"In my opinion, this product is amazing",positive
"Overall, the service is provided online today.",neutral
"In my opinion, i purchased this product.",neutral
"Overall, i really enjoyed the service today.",positive
I think the experience was wonderful.,positive
"In my opinion, everything went wrong.",negative
"In my opinion, this is an excellent experience",positive
"In my opinion, the service is horrible",negative
"Overall, the service is available today.",neutral
"Personally, i received the package today.",neutral
"Personally, this application is useless today.",negative
"Overall, i placed an order today.",neutral
"Overall, the product quality is fantastic.",positive
"Personally, the package arrived yesterday.",neutral
"In my opinion, i am extremely happy.",positive
"Overall, the application works perfectly today.",positive
I think i would not recommend this product.,negative
"In my opinion, the service was very bad.",negative
I think the application was updated today today.,neutral
"In my opinion, i would not recommend this product today.",negative
"Personally, the application contains several options",neutral
"Overall, the application works perfectly",positive
"Overall, the product has a standard design today.",neutral
"Overall, i received the package.",neutral
"Personally, i purchased this product",neutral
I think i really dislike this application,negative
I think the service is provided online,neutral
"In my opinion, everything went wrong",negative
"Overall, the service is available today today.",neutral
I think the service is available today today.,neutral
The service is provided online,neutral
I think i love this product.,positive
"Overall, the service was very bad today.",negative
"Personally, the application requires an account",neutral
"In my opinion, the product has different sizes today.",neutral
I think everything went wrong,negative
"Overall, the application contains several options today.",neutral
"Personally, the service is horrible",negative
"Overall, the product is available online.",neutral
"Overall, the service is excellent",positive
I think the application requires an account,neutral
"Overall, the application is frustrating.",negative
"Overall, the experience was wonderful",positive
"Personally, the application was updated today",neutral
I think the service is excellent,positive
I think the application has several features.,neutral
"Personally, the application is frustrating today.",negative
I think the application was updated today,neutral
I really enjoyed the service,positive
"Overall, this product is amazing today.",positive
"Personally, the product quality is awful.",negative
"Overall, the service is currently available",neutral
I really like this application,positive
I think i purchased this product today.,neutral
"In my opinion, the product quality is awful today.",negative
"Personally, the product quality is fantastic.",positive
"Personally, i opened the application",neutral
"Personally, i am satisfied with the product today.",positive
I think the product failed completely,negative
"In my opinion, the product exceeded my expectations.",positive
"Overall, i am using the application.",neutral
"Personally, i am extremely happy today.",positive
"Personally, the application contains several options today.",neutral
I think i placed an order today.,neutral
I think the application works perfectly.,positive
"In my opinion, the service was great.",positive
"Overall, the service was slow and terrible.",negative
"Overall, this product is terrible",negative
"In my opinion, i would recommend this product.",positive
I think the package arrived yesterday today.,neutral
"In my opinion, everything went wrong today.",negative
"Personally, i am satisfied with the product",positive
"Personally, the service was very bad today.",negative
"Personally, the service is horrible today.",negative
"Personally, i really like this application today.",positive
"Overall, the application is impressive today.",positive
I think the product quality is fantastic,positive
"Overall, this is an excellent experience",positive
I think the service was great today.,positive
I think i am satisfied with the product.,positive
"Overall, everything is working perfectly",positive
"Overall, i am extremely happy.",positive
"Personally, this product is terrible today.",negative
"Personally, this product is amazing.",positive
"Personally, i am extremely happy",positive
The service starts at nine,neutral
I think the service was very bad.,negative
"Overall, the application is impressive",positive
This is a terrible experience,negative
"In my opinion, i hate this product today.",negative
"Overall, i am satisfied with the product",positive
"Personally, this is an excellent experience today.",positive
"In my opinion, the service is available today today.",neutral
I think i am using the application,neutral
I think the product arrived today today.,neutral
"Personally, the service was great",positive
I think this is an excellent experience.,positive
I think the service is horrible today.,negative
I think the application requires an account.,neutral
"Overall, i am very unhappy with the purchase.",negative
"Overall, the product has a standard design.",neutral
"Overall, this is a very bad product.",negative
"In my opinion, the service is currently available.",neutral
"Personally, the product quality is awful today.",negative
"Personally, the service was slow and terrible today.",negative
"Overall, i did not enjoy the service.",negative
"Overall, this is a terrible experience today.",negative
I think the application is frustrating,negative
"Overall, i am disappointed with the product",negative
"In my opinion, this is a terrible experience.",negative
"Personally, the service was fast and excellent",positive
I think i am extremely disappointed.,negative
"In my opinion, the application requires an account.",neutral
"Personally, the experience was wonderful today.",positive
I think i am very unhappy with the purchase.,negative
"In my opinion, the service was very bad today.",negative
"Personally, this is an excellent experience",positive
I think the service is available today.,neutral
"In my opinion, i am extremely disappointed.",negative
"In my opinion, this is a terrible experience today.",negative
The service is currently available,neutral
"Personally, i hate this product today.",negative
"Personally, the application has several features today.",neutral
"Personally, i am disappointed with the product.",negative
"Personally, the application does not work",negative
"Overall, i really enjoyed the service",positive
"Personally, this is a very bad product today.",negative
"Personally, the service operates during the day",neutral
I think i am using the application.,neutral
The experience was wonderful,positive
I think everything went wrong.,negative
"Overall, the application contains several options.",neutral
I think this is an excellent experience today.,positive
"In my opinion, i received the package.",neutral
"In my opinion, i really like this application",positive
"In my opinion, i really dislike this application today.",negative
I think the application works perfectly today.,positive
"Personally, the service is provided online.",neutral
I think this application is useless.,negative
This application is very useful,positive
"Personally, the product is available online.",neutral
"In my opinion, i am using the application today.",neutral
I think i really enjoyed the service,positive
"Personally, i am very happy with the purchase",positive
"Personally, everything went wrong",negative
"Overall, i am very unhappy with the purchase today.",negative
"Personally, i opened the application.",neutral
"Overall, everything went wrong",negative
I think i am disappointed with the product,negative
"In my opinion, this is an excellent experience today.",positive
"In my opinion, this is a very bad product",negative
"Overall, i purchased this product today.",neutral
"In my opinion, the product has a standard design",neutral
"In my opinion, the product exceeded my expectations",positive
"Personally, i am satisfied with the product.",positive
I think the service is excellent today.,positive
I think i did not enjoy the service today.,negative
I think i am very happy with the purchase.,positive
"In my opinion, i really like this application today.",positive
"In my opinion, i am extremely happy today.",positive
I think i am extremely disappointed today.,negative
"In my opinion, the application was updated today.",neutral
"Overall, the application does not work today.",negative
I really dislike this application,negative
The product has a standard design,neutral
"Personally, the application is impressive today.",positive
"In my opinion, the application is impressive",positive
I would not recommend this product,negative
I think i hate this product,negative
"In my opinion, the service was great",positive
"Personally, the service was great today.",positive
"In my opinion, the application does not work",negative
"In my opinion, this is a very good product.",positive
"Personally, the service is provided online today.",neutral
I opened the application,neutral
"In my opinion, everything is working perfectly.",positive
"In my opinion, i am satisfied with the product today.",positive
I am very unhappy with the purchase,negative
I think i received the package,neutral
"In my opinion, the product failed completely.",negative
"Overall, this is a very bad product",negative
"In my opinion, the package arrived yesterday",neutral
"Overall, the product arrived today",neutral
I think the product failed completely today.,negative
"In my opinion, i did not enjoy the service.",negative
"Personally, the application works perfectly today.",positive
"Overall, the experience was disappointing today.",negative
"Personally, this is a very bad product.",negative
"Personally, this is a very bad product",negative
"In my opinion, i am very happy with the purchase",positive
I think i am very happy with the purchase today.,positive
"Overall, i am very happy with the purchase.",positive
I think this is a very good product today.,positive
"Personally, i placed an order",neutral
I think the product exceeded my expectations,positive
"Personally, the product is listed on the website.",neutral
"In my opinion, the product has different sizes.",neutral
"Overall, the experience was disappointing",negative
"Personally, the product exceeded my expectations.",positive
"Personally, this is a terrible experience",negative
I think the product arrived today,neutral
"Overall, the service starts at nine",neutral
"Overall, i opened the application",neutral
"In my opinion, the service is horrible.",negative
I think i purchased this product.,neutral
"Overall, this is an excellent experience today.",positive
I think the product exceeded my expectations.,positive
"In my opinion, the experience was disappointing today.",negative
"Personally, the product has different sizes.",neutral
"In my opinion, i am very unhappy with the purchase today.",negative
"Overall, i am satisfied with the product today.",positive
"Personally, i did not enjoy the service today.",negative
"In my opinion, the application contains several options.",neutral
"Overall, i am extremely happy today.",positive
"Overall, i would not recommend this product today.",negative
I think i love this product,positive
"In my opinion, everything is working perfectly today.",positive
"Overall, the product is listed on the website today.",neutral
"In my opinion, i am extremely disappointed",negative
"Personally, everything went wrong today.",negative
"In my opinion, the application is impressive.",positive
"In my opinion, i would recommend this product today.",positive
"Personally, the application was updated today today.",neutral
"Personally, the service was very bad.",negative
"Personally, i am extremely disappointed",negative
"Overall, the application does not work.",negative
"Personally, this is a terrible experience.",negative
"In my opinion, this application is useless today.",negative
"Overall, the product is listed on the website.",neutral
